DISTRICT,STATES,Months,2021-2022forecast,2021-2022plan,2021-2022Actual,actual -plan,actual-forecast
JODHPUR,Rajasthan,Nov-21,4762.23,2600,3821.85,0.319701192,0.246053613
KAIMUR,Bihar,Nov-21,2293.89,6115,1878,2.256123536,0.221453674
KAROLI,Rajasthan,Nov-21,2640.52,3200,2304,0.388888889,0.146059028
KATIHAR,Bihar,Nov-21,928.07,1130,1132.6,0.002295603,0.180584496
KHAGARIA,Bihar,Nov-21,963.28,1590,930,0.709677419,0.035784946
KISHANGANJ,Bihar,Nov-21,2370.61,2640,2470.35,0.068674479,0.040374846
KOTA,Rajasthan,Nov-21,3094.41,2400,2145,0.118881119,0.442615385
LAKHISARAI,Bihar,Nov-21,557.57,325,284,0.144366197,0.963274648
MADHEPURA,Bihar,Nov-21,813.7,2275,1116.25,1.038073908,0.271041433
MADHUBANI,Bihar,Nov-21,1653.26,2325,1020.5,1.278294953,0.620048996
MUNGER,Bihar,Nov-21,169.97,820,180,3.555555556,0.055722222
MUZAFFARPUR,Bihar,Nov-21,2088.55,6275,3062.9,1.048712005,0.318113553
NAGAUR,Rajasthan,Nov-21,1833.11,1700,1443,0.178101178,0.2703465
NALANDA,Bihar,Nov-21,2860,2750,1201,1.289758535,1.381348876
NAWADA,Bihar,Nov-21,1142.01,820,551.35,0.487258547,1.071297724
PALI,Rajasthan,Nov-21,4452.59,4300,3370.45,0.275794033,0.32106692
PATNA,Bihar,Nov-21,12602.6,18840,8384.1,1.247110602,0.503154781
PRATAPGARH,Rajasthan,Nov-21,1951.59,1900,1047.5,0.813842482,0.863093079
PURNEA,Bihar,Nov-21,1566.16,2670,1664.1,0.604470885,0.058854636
RAJSAMAND,Rajasthan,Nov-21,1590.04,1300,1002.05,0.297340452,0.586787086
ROHTAS,Bihar,Nov-21,3362.83,7345,2458,1.98820179,0.368116355
SAHARSA,Bihar,Nov-21,479.32,1695,1180,0.436440678,0.59379661
SAMASTIPUR,Bihar,Nov-21,4831.07,4155,2300.65,0.806011345,1.099871775
SARAN,Bihar,Nov-21,6254.42,6210,5524.9,0.124002244,0.132042209
SAWAIMADHOPUR,Rajasthan,Nov-21,3223.54,3300,1648,1.002427184,0.956031553
SEIKHPURA,Bihar,Nov-21,924.67,950,407.95,1.328716755,1.266625812
SHEOHAR,Bihar,Nov-21,-426.63,1040,581,0.790017212,1.734302926
SIKAR,Rajasthan,Nov-21,4673.39,3600,4196.55,0.142152482,0.11362667
SIROHI,Rajasthan,Nov-21,2083.01,1900,1988.5,0.044505909,0.047528288
SITAMARHI,Bihar,Nov-21,794.37,2915,1012.6,1.878728027,0.215514517
SIWAN,Bihar,Nov-21,3807.66,6295,4626,0.360786857,0.17690013
SRIGANGANAGAR,Rajasthan,Nov-21,3933.15,3600,2925,0.230769231,0.344666667
SUPAUL,Bihar,Nov-21,1791.66,2005,877,1.286202965,1.042941847
TONK,Rajasthan,Nov-21,2296.11,1800,1782,0.01010101,0.288501684
UDAIPUR,Rajasthan,Nov-21,4555.47,4200,2825.7,0.486357363,0.61215628
VAISHALI,Bihar,Nov-21,1136.62,5935,4715.9,0.25850845,0.758981319
WEST CHAMPARAN,Bihar,Nov-21,4142.27,9535,6101.2,0.562807317,0.321072904
AJMER,Rajasthan,Dec-21,5571.86,4500,5788.5,0.222596528,0.037425931
ALWAR,Rajasthan,Dec-21,6077.27,7300,7158.95,0.01970261,0.151094783
ARARIA,Bihar,Dec-21,2981.6,4240,2598.85,0.631490852,0.14727668
ARWAL,Bihar,Dec-21,453.56,1010,421,1.399049881,0.077339667
AURANGABAD,Bihar,Dec-21,3830.72,9430,4522,1.08536046,0.152870411
BANKA,Bihar,Dec-21,3083.35,5070,2305.6,1.198993754,0.337330847
BANSWARA,Rajasthan,Dec-21,1842.65,1800,1757.15,0.02438608,0.048658339
BARAN,Rajasthan,Dec-21,1361.3,1500,1559.5,0.038153254,0.127092017
BARMER,Rajasthan,Dec-21,2541.84,1500,1479.25,0.014027379,0.718330235
BEGUSARAI,Bihar,Dec-21,862.73,1385,1161.65,0.192269616,0.257323634
BHAGALPUR,Bihar,Dec-21,1256.14,4435,2226.6,0.991826103,0.435848379
BHARATPUR,Rajasthan,Dec-21,5532.75,6800,6275.1,0.083648069,0.118300904
BHILWARA,Rajasthan,Dec-21,5634.82,4900,4940.8,0.008257772,0.140467131
BHOJPUR,Bihar,Dec-21,1493.38,3110,1859.35,0.672627531,0.196826848
BIKANER,Rajasthan,Dec-21,3284.59,3700,3154.3,0.173001934,0.041305519
BUNDI,Rajasthan,Dec-21,1870.7,1800,2306,0.21942758,0.18876843
BUXAR,Bihar,Dec-21,18.74,3670,2879.3,0.274615358,0.993491474
CHITTORGARH,Rajasthan,Dec-21,1801.44,1700,1808.25,0.05986451,0.003766072
CHURU,Rajasthan,Dec-21,3362.15,4000,5493.35,0.271846869,0.387959988
DARBHANGA,Bihar,Dec-21,1966.98,6345,2770.7,1.290035009,0.29007832
DAUSA,Rajasthan,Dec-21,2041.58,3400,2449.85,0.387840072,0.166651019
DHOLPUR,Rajasthan,Dec-21,3201.07,3300,3138.5,0.051457703,0.019936275
DUNGARPUR,Rajasthan,Dec-21,1705.49,1800,1934.5,0.06952701,0.118382011
EAST CHAMPARAN,Bihar,Dec-21,7456.88,11975,8094.15,0.479463563,0.078732171
GAYA,Bihar,Dec-21,3710.34,9280,5328,0.741741742,0.303614865
GOPALGANJ,Bihar,Dec-21,4510.85,5455,6308.75,0.135327918,0.28498514
HANUMANGARH,Rajasthan,Dec-21,3834.95,3400,4946,0.312575819,0.22463607
JAIPUR,Rajasthan,Dec-21,16525.01,15900,19571.35,0.187587979,0.155653034
JAISALMER,Rajasthan,Dec-21,1214.92,1200,1630,0.263803681,0.254650307
JALORE,Rajasthan,Dec-21,1237.11,1600,1607,0.004355943,0.230174238
JAMUI,Bihar,Dec-21,1383.78,1970,1067.95,0.844655649,0.295734819
JEHANABAD,Bihar,Dec-21,707.31,1535,657,1.336377473,0.076575342
JHALAWAR,Rajasthan,Dec-21,2329.58,1900,2037.5,0.067484663,0.143352147
JHUNJHUNU,Rajasthan,Dec-21,6874.98,5700,8182.85,0.30342118,0.159830621
JODHPUR,Rajasthan,Dec-21,4577.46,2900,4162.45,0.303294934,0.0997033
KAIMUR,Bihar,Dec-21,2299.52,6520,3066,1.12654925,0.249993477
KAROLI,Rajasthan,Dec-21,2538.42,3300,2628,0.255707763,0.034086758
KATIHAR,Bihar,Dec-21,1113.06,1265,1796.95,0.296029383,0.380583767
KHAGARIA,Bihar,Dec-21,963.12,1780,1063,0.674506115,0.093960489
KISHANGANJ,Bihar,Dec-21,3328.15,2950,2510.75,0.174947725,0.325560092
KOTA,Rajasthan,Dec-21,2658.94,2500,2658.25,0.059531647,0.000259569
LAKHISARAI,Bihar,Dec-21,394.65,345,474.7,0.273225195,0.168632821
MADHEPURA,Bihar,Dec-21,1144.91,2540,2109.5,0.204076795,0.457260014
MADHUBANI,Bihar,Dec-21,1443.67,2600,1160.9,1.239641657,0.243578258
MUNGER,Bihar,Dec-21,300.25,870,655,0.328244275,0.541603053
MUZAFFARPUR,Bihar,Dec-21,2064.83,7015,4706.1,0.490618559,0.561243917
NAGAUR,Rajasthan,Dec-21,1914.43,1800,2289,0.213630406,0.163639144
NALANDA,Bihar,Dec-21,1988.45,2930,1861.85,0.573703574,0.067996885
NAWADA,Bihar,Dec-21,941.25,875,592.5,0.476793249,0.588607595
PALI,Rajasthan,Dec-21,4571.45,4400,4520,0.026548673,0.011382743
PATNA,Bihar,Dec-21,11216.58,20095,14561.9,0.37997102,0.22973101
PRATAPGARH,Rajasthan,Dec-21,2565.31,1900,1791.45,0.060593374,0.431974099
PURNEA,Bihar,Dec-21,2339.53,2985,1199.75,1.488018337,0.950014586
RAJSAMAND,Rajasthan,Dec-21,1768.1,1300,1355.05,0.040625807,0.3048227
ROHTAS,Bihar,Dec-21,2786.54,7840,3864,1.028985507,0.278845756
SAHARSA,Bihar,Dec-21,1872.15,1895,1644.5,0.152325935,0.138431134
SAMASTIPUR,Bihar,Dec-21,3408.64,4645,2856.15,0.626315145,0.19343872
SARAN,Bihar,Dec-21,5820.83,6940,6702.8,0.035388196,0.131582324
SAWAIMADHOPUR,Rajasthan,Dec-21,3444.87,3400,4213.7,0.193108195,0.182459596
SEIKHPURA,Bihar,Dec-21,803.14,1015,644.45,0.574986423,0.246240981
SHEOHAR,Bihar,Dec-21,1105.96,1160,1216.5,0.046444718,0.090867242
SIKAR,Rajasthan,Dec-21,4808.08,3800,5700.95,0.333444426,0.156617757
SIROHI,Rajasthan,Dec-21,2369.37,2000,2438.45,0.179806845,0.028329472
SITAMARHI,Bihar,Dec-21,674.89,3260,1616.65,1.016515634,0.582537964
SIWAN,Bihar,Dec-21,4003.31,7035,6099.15,0.153439414,0.34362821
SRIGANGANAGAR,Rajasthan,Dec-21,3260.07,3700,3119.75,0.185992467,0.044977963
SUPAUL,Bihar,Dec-21,2191.64,2240,1413.25,0.584999116,0.550780117
TONK,Rajasthan,Dec-21,2107.79,2000,2756,0.274310595,0.235199565
UDAIPUR,Rajasthan,Dec-21,4246.49,4300,4370.65,0.016164644,0.028407674
VAISHALI,Bihar,Dec-21,4578.76,6635,5414.65,0.225379295,0.154375629
WEST CHAMPARAN,Bihar,Dec-21,3525.8,10655,7921.9,0.345005617,0.554930004
AJMER,Rajasthan,Jan-22,5350.48,4900,5184.45,0.054865993,0.032024612
ALWAR,Rajasthan,Jan-22,6959.13,7700,6567.8,0.172386492,0.059583118
ARARIA,Bihar,Jan-22,5313.12,4685,5411.65,0.134275129,0.018207016
ARWAL,Bihar,Jan-22,441.04,1135,612,0.854575163,0.279346405
AURANGABAD,Bihar,Jan-22,4510.21,10605,5864,0.808492497,0.230864598
BANKA,Bihar,Jan-22,2559.51,5705,4134,0.380019352,0.38086357
BANSWARA,Rajasthan,Jan-22,1822.71,1900,1852.35,0.02572408,0.016001296
BARAN,Rajasthan,Jan-22,1404,1600,1849,0.134667388,0.240670633
BARMER,Rajasthan,Jan-22,1552.42,1600,1590.15,0.006194384,0.023727321
BEGUSARAI,Bihar,Jan-22,849.83,1535,2007,0.235176881,0.576567015
BHAGALPUR,Bihar,Jan-22,3370.2,4985,4553.65,0.094726209,0.259890418
BHARATPUR,Rajasthan,Jan-22,5433.37,7000,6161.5,0.136086992,0.118174146
BHILWARA,Rajasthan,Jan-22,4872.23,5100,5731.55,0.110188343,0.14992803
BHOJPUR,Bihar,Jan-22,1891.5,3500,2586,0.353441609,0.268561485
BIKANER,Rajasthan,Jan-22,3705.51,3800,3939,0.035288144,0.059276466
BUNDI,Rajasthan,Jan-22,1964.2,1900,2223,0.145299145,0.116419253
BUXAR,Bihar,Jan-22,2533.49,4130,3467.2,0.191162898,0.269297993
CHITTORGARH,Rajasthan,Jan-22,1732.82,1800,1807.1,0.003928947,0.041104532
CHURU,Rajasthan,Jan-22,4170.84,4100,5251,0.219196344,0.20570558
DARBHANGA,Bihar,Jan-22,3406.5,7015,4422.55,0.586188963,0.229743022
DAUSA,Rajasthan,Jan-22,2342.11,3600,2182.35,0.649597911,0.073205489
DHOLPUR,Rajasthan,Jan-22,3081,3500,3158,0.10829639,0.024382521
DUNGARPUR,Rajasthan,Jan-22,1810.24,1900,1894.5,0.002903141,0.044476115
EAST CHAMPARAN,Bihar,Jan-22,11039.71,13235,14659.15,0.097150926,0.24690654
GAYA,Bihar,Jan-22,6656.58,10435,6740.4,0.548127708,0.012435464
GOPALGANJ,Bihar,Jan-22,4712.08,6030,7604.35,0.207032817,0.380344145
HANUMANGARH,Rajasthan,Jan-22,3928.53,3600,4574,0.21294272,0.141117184
JAIPUR,Rajasthan,Jan-22,21079.64,16900,15909,0.062291785,0.325013514
JAISALMER,Rajasthan,Jan-22,1428.21,1300,1314,0.01065449,0.086917808
JALORE,Rajasthan,Jan-22,1426.27,1700,1607,0.057871811,0.112464219
JAMUI,Bihar,Jan-22,1065.88,2215,1383.3,0.601243403,0.22946577
JEHANABAD,Bihar,Jan-22,752.54,1730,1162,0.488812392,0.352375215
JHALAWAR,Rajasthan,Jan-22,2146.68,1900,2196.5,0.13498748,0.022681539
JHUNJHUNU,Rajasthan,Jan-22,7580.81,5900,6705.4,0.120112148,0.130552987
JODHPUR,Rajasthan,Jan-22,4335.7,3200,4334.55,0.261745741,0.00026531
KAIMUR,Bihar,Jan-22,2538.26,7335,6004,0.221685543,0.577238508
KAROLI,Rajasthan,Jan-22,2451.07,3400,3396,0.001177856,0.278247939
KATIHAR,Bihar,Jan-22,1840.83,1395,2622.1,0.467983677,0.297955837
KHAGARIA,Bihar,Jan-22,1009.05,1965,1705.45,0.152188572,0.408337975
KISHANGANJ,Bihar,Jan-22,3612.16,3260,4520.95,0.278912618,0.201017485
KOTA,Rajasthan,Jan-22,2575.4,2600,2821,0.078341014,0.087061326
LAKHISARAI,Bihar,Jan-22,440.05,390,475.25,0.179379274,0.074066281
MADHEPURA,Bihar,Jan-22,1522.55,2810,3490.25,0.194900079,0.563770504
MADHUBANI,Bihar,Jan-22,1260.86,2870,2339,0.227020094,0.460940573
MUNGER,Bihar,Jan-22,354.75,980,1025,0.043902439,0.653902439
MUZAFFARPUR,Bihar,Jan-22,4103.09,7755,6766.7,0.146053468,0.393635007
NAGAUR,Rajasthan,Jan-22,1958.12,2000,2310,0.134199134,0.152329004
NALANDA,Bihar,Jan-22,2575.43,3300,1871,0.763762694,0.376499198
NAWADA,Bihar,Jan-22,879.56,985,802.1,0.228026431,0.0965715
PALI,Rajasthan,Jan-22,4359.32,4600,4156.35,0.106740289,0.048833712
PATNA,Bihar,Jan-22,13979.67,22610,20374.65,0.109712314,0.313869441
PRATAPGARH,Rajasthan,Jan-22,2279.92,2000,2078,0.037536092,0.097170356
PURNEA,Bihar,Jan-22,1682.91,3295,2767.1,0.190777348,0.391814535
RAJSAMAND,Rajasthan,Jan-22,1487.55,1500,1468.25,0.021624383,0.0131449
ROHTAS,Bihar,Jan-22,4003.15,8815,7364,0.197039652,0.456389191
SAHARSA,Bihar,Jan-22,1421.44,2095,2026,0.034057256,0.29840079
SAMASTIPUR,Bihar,Jan-22,2310.84,5135,3311.75,0.550539745,0.302229939
SARAN,Bihar,Jan-22,6634.13,7670,8558.3,0.103793978,0.224830866
SAWAIMADHOPUR,Rajasthan,Jan-22,4284.78,3500,4276.85,0.181640694,0.001854168
SEIKHPURA,Bihar,Jan-22,954.29,1145,1001.95,0.142771595,0.047567244
SHEOHAR,Bihar,Jan-22,984.76,1285,1086.35,0.182860036,0.093514981
SIKAR,Rajasthan,Jan-22,5327.85,4000,4383.5,0.087487168,0.215432873
SIROHI,Rajasthan,Jan-22,2477.49,2100,2069,0.014983084,0.197433543
SITAMARHI,Bihar,Jan-22,1411.98,3605,3066.45,0.175626539,0.539539207
SIWAN,Bihar,Jan-22,3644.33,7775,6059.95,0.283013886,0.398620451
SRIGANGANAGAR,Rajasthan,Jan-22,3501.54,3800,3116,0.219512195,0.12372914
SUPAUL,Bihar,Jan-22,1202.9,2475,2026.05,0.221588806,0.406283162
TONK,Rajasthan,Jan-22,2302.57,2100,2074.95,0.01207258,0.109699029
UDAIPUR,Rajasthan,Jan-22,4681.31,4500,4287.6,0.049538203,0.091825264
VAISHALI,Bihar,Jan-22,5139.55,7330,6020.4,0.217527075,0.146310876
WEST CHAMPARAN,Bihar,Jan-22,13258.88,11780,13781.3,0.145218521,0.03790789
AJMER,Rajasthan,Feb-22,5696.62,5000,5817.2,0.140479956,0.020728185
ALWAR,Rajasthan,Feb-22,7340.35,7700,8503.12,0.094450037,0.136746277
ARARIA,Bihar,Feb-22,4896.51,4685,4488.05,0.043883201,0.091010573
ARWAL,Bihar,Feb-22,529.72,1135,781,0.453265045,0.321741357
AURANGABAD,Bihar,Feb-22,5220.43,10605,7563,0.402221341,0.309740844
BANKA,Bihar,Feb-22,4365.98,5705,4963,0.149506347,0.120294177
BANSWARA,Rajasthan,Feb-22,1765.63,1900,1997.9,0.049001452,0.11625707
BARAN,Rajasthan,Feb-22,1457.15,1600,2159,0.258916165,0.325081056
BARMER,Rajasthan,Feb-22,1557.68,1700,1581.5,0.074928865,0.01506165
BEGUSARAI,Bihar,Feb-22,1918.17,1535,1575.35,0.025613356,0.217615133
BHAGALPUR,Bihar,Feb-22,4666.49,4985,3012.6,0.654716856,0.548990905
BHARATPUR,Rajasthan,Feb-22,7196.25,7000,6574.75,0.064679265,0.094528309
BHILWARA,Rajasthan,Feb-22,5586.01,5600,5715.6,0.020225348,0.022673035
BHOJPUR,Bihar,Feb-22,2292.91,3500,3440,0.01744186,0.333456395
BIKANER,Rajasthan,Feb-22,4605.61,3800,4668.25,0.185990468,0.013418305
BUNDI,Rajasthan,Feb-22,1966.2,1900,2590,0.266409266,0.240849421
BUXAR,Bihar,Feb-22,2772.19,4130,3170.55,0.302613111,0.125643816
CHITTORGARH,Rajasthan,Feb-22,1756.33,1800,1901,0.053129932,0.076102052
CHURU,Rajasthan,Feb-22,5139.64,4200,6067.4,0.307775983,0.152908989
DARBHANGA,Bihar,Feb-22,3807.93,7015,5406.7,0.297464257,0.295701629
DAUSA,Rajasthan,Feb-22,2450.23,3600,2489.6,0.446015424,0.015813785
DHOLPUR,Rajasthan,Feb-22,3307.01,3500,3430.75,0.020185091,0.036067915
DUNGARPUR,Rajasthan,Feb-22,1805.36,1900,1957.5,0.029374202,0.077721584
EAST CHAMPARAN,Bihar,Feb-22,14423.9,13235,11625.75,0.138421177,0.240685547
GAYA,Bihar,Feb-22,7001.63,10435,8115.5,0.285811102,0.137252172
GOPALGANJ,Bihar,Feb-22,4981.26,6030,6985,0.136721546,0.286863278
HANUMANGARH,Rajasthan,Feb-22,4298.55,3700,5098,0.274225186,0.156816399
JAIPUR,Rajasthan,Feb-22,17849.61,18200,19747.7,0.078373684,0.096117016
JAISALMER,Rajasthan,Feb-22,1419.14,1300,1502,0.13448735,0.055166445
JALORE,Rajasthan,Feb-22,1427.56,1700,1962,0.133537207,0.272395515
JAMUI,Bihar,Feb-22,1388.46,2215,1904.9,0.162790698,0.271111344
JEHANABAD,Bihar,Feb-22,1093.72,1730,911,0.899012075,0.200570801
JHALAWAR,Rajasthan,Feb-22,2003.53,2100,2571.5,0.183356018,0.220871087
JHUNJHUNU,Rajasthan,Feb-22,7693.58,6000,8713.5,0.311413324,0.117050554
JODHPUR,Rajasthan,Feb-22,4641.93,3600,4556.45,0.209911225,0.018760219
KAIMUR,Bihar,Feb-22,7043.08,7335,4494,0.632176235,0.567218514
KAROLI,Rajasthan,Feb-22,2719.95,3400,3146,0.080737444,0.135425938
KATIHAR,Bihar,Feb-22,2404.37,1395,2999.8,0.534968998,0.198489899
KHAGARIA,Bihar,Feb-22,1709.24,1965,2152,0.086895911,0.205743494
KISHANGANJ,Bihar,Feb-22,4782.88,3260,4090.7,0.203070379,0.169208204
KOTA,Rajasthan,Feb-22,2588.43,2700,3112.55,0.132544056,0.168389263
LAKHISARAI,Bihar,Feb-22,467.69,390,729.75,0.465570401,0.359109284
MADHEPURA,Bihar,Feb-22,2536.43,2810,3952.7,0.289093531,0.35830445
MADHUBANI,Bihar,Feb-22,1979.12,2870,3406.4,0.157468295,0.41899953
MUNGER,Bihar,Feb-22,806.43,980,915,0.071038251,0.118655738
MUZAFFARPUR,Bihar,Feb-22,5430.38,7755,5970.85,0.298810052,0.0905181
NAGAUR,Rajasthan,Feb-22,1899.92,2000,2548,0.215070644,0.254348509
NALANDA,Bihar,Feb-22,2616.8,3300,2245.45,0.469638603,0.165378877
NAWADA,Bihar,Feb-22,818.07,985,1402.7,0.297782847,0.41678905
PALI,Rajasthan,Feb-22,4318.13,4800,4845.5,0.009390156,0.108837065
PATNA,Bihar,Feb-22,18283.64,22610,21639.85,0.044831642,0.155093959
PRATAPGARH,Rajasthan,Feb-22,2005.08,2000,2390,0.163179916,0.161054393
PURNEA,Bihar,Feb-22,2216.45,3295,3097.45,0.063778269,0.284427513
RAJSAMAND,Rajasthan,Feb-22,1488.83,1500,1592.5,0.058084772,0.065098901
ROHTAS,Bihar,Feb-22,5274.3,8815,7769.5,0.134564644,0.321153227
SAHARSA,Bihar,Feb-22,1803.58,2095,2327.35,0.099834576,0.22504995
SAMASTIPUR,Bihar,Feb-22,3581.81,5135,4598.8,0.116595634,0.221142472
SARAN,Bihar,Feb-22,7239.41,7670,8773.65,0.125791432,0.174869068
SAWAIMADHOPUR,Rajasthan,Feb-22,4149.91,3500,5028,0.30389817,0.174640016
SEIKHPURA,Bihar,Feb-22,1172.16,1145,724.5,0.580400276,0.617888199
SHEOHAR,Bihar,Feb-22,900.64,1285,934.5,0.375066881,0.03623328
SIKAR,Rajasthan,Feb-22,4993.37,4000,5172.1,0.226619748,0.034556563
SIROHI,Rajasthan,Feb-22,2181.84,2200,1707.25,0.288622053,0.277985064
SITAMARHI,Bihar,Feb-22,3597.55,3605,3175.25,0.135343674,0.132997402
SIWAN,Bihar,Feb-22,5697.13,7775,6499.65,0.196218258,0.123471264
SRIGANGANAGAR,Rajasthan,Feb-22,3221.25,3800,4010,0.052369077,0.196695761
SUPAUL,Bihar,Feb-22,3936.17,2475,1765.8,0.401630989,1.229114282
TONK,Rajasthan,Feb-22,1866.29,2100,2607,0.19447641,0.284123514
UDAIPUR,Rajasthan,Feb-22,4123.6,4700,4297.6,0.093633656,0.040487714
VAISHALI,Bihar,Feb-22,5616.81,7330,6732.7,0.088716265,0.165741827
WEST CHAMPARAN,Bihar,Feb-22,9764.76,11780,9402.5,0.252858282,0.038528051
